Unit weight [kN/m3],Effective cohesion [kPa],Effective friction angle [°],Saturated permeability [m/s],Soil Type [-],Slope angle [°],Slope length [m],Total length [m],Slope height [m],Total height Upstream [m],Total height Downstream [m],Soil depth upstream [m],Soil depth downstream [m],Bedrock depth upstream [m],Bedrock depth downstream [m],Initial piezometric surface depth - upstream [m],Initial piezometric surface depth - downstream [m],Return period of precipitation [years],Accumulated precipitation [mm],Precipitation duration [hrs],Factor of safety [-],Depth of slip surface [m],Final Piezometric surface depth - upstream [m],Final Piezometric surface depth - downstream [m]
15.0000000000,20.0000000000,15.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.5930000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,20.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.7230000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,30.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.0140000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,35.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.1810000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,40.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.3700000000,39.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,45.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.5860000000,32.0000000000,15.8900000000,0.0000000000
15.0000000000,20.0000000000,50.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,1.8420000000,29.0000000000,15.8900000000,0.0000000000
9.0000000000,20.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.4660000000,39.0000000000,15.8900000000,0.0000000000
11.0000000000,20.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.6450000000,39.0000000000,15.8900000000,0.0000000000
13.0000000000,20.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.7700000000,39.0000000000,15.8900000000,0.0000000000
17.0000000000,20.0000000000,25.0000000000,0.0010000000,1.0000000000,30.0000000000,80.0000000000,160.0000000000,46.1900000000,70.0000000000,23.8100000000,60.0000000000,13.8100000000,10.0000000000,10.0000000000,15.8900000000,0.0000000000,-1.0000000000,0.0000000000,-1.0000000000,0.9260000000,32.0000000000,15.8900000000,0.0000000000
